Class;Text
NEU;Á jà orientuojasi ir UAB “Femtika”, dar viena sëkminga nedidelë ámonë, ákurtà VU Lazeriniø tyrimø centro darbuotojø. „Femtikos“ verslo sritis – nanofotoniniø technologijø komercializavimas. Palyginti jauna ámonë gamina ir parduoda tiek mikroskopinius objektus, tiek paèias stakles ir lazerius.
POS;Jungtinës Karalystës bendrovë „MJ Systems“, gaminanti daliø perveþimo konteinerius daugeliui transporto industrijos milþinø, kuriasi Plungëje. Per artimiausius trejus metus á gamyklà Þemaitijoje bendrovë planuoja investuoti apie 100 tûkst. eurø ir sukurti apie 50 darbo vietø, teigiama praneðime spaudai.
POS;„Planuojant naujà investiciná projektà Lietuva varþësi su Rumunija ir Jungtine Karalyste. Pasirinkome Lietuvà, nes jau esame turëjæ pozityvios patirties su ðalies automobiliø pramonës darbuotojais, pozityviai vertiname jø darbo etikà ir entuziazmà. Be to, mums svarbu ir tai, kad ðalis netoli mûsø pagrindiniø rinkø Vakarø Europoje, todël logistikos kaðtai yra konkurencingi“, – teigia „MJ Systems“ direktorius Johnas Tariqas Marfanis.
POS;Bendrovë Plungëje gamins ávairiø transporto priemoniø komponentø transportavimo konteineriø sistemas, uþtikrinanèias, kad perveþimo metu gabenamos dalys nebûtø paþeistos, o logistikos kaðtai bûtø kaip ámanoma maþesni. Didþiàjà dalá produkcijos gamybai reikalingø paslaugø ir medþiagø bendrovë planuoja pirkti ið Lietuvos tiekëjø.
POS;Jungtinëje Karalystëje ir Indijoje gamyklas turinti bendrovë produkcijà tiekia tokiems gamintojams kaip „Jaguar“, „Bentley“, „Volvo“, „Ford“, „Toyota“, BMW ir daugeliui kitø. Be to, bendrovë gamino „Airbus A320“ uþsparniø transportavimo sistemas. Bendrovës atstovø teigimu, tai itin sudëtingas projektas dël nestandartiniø detalës dimensijø ir paþeidþiamumo.
POS;Bendrovë tikisi, kad ateityje gamykla Plungëje plësis dar labiau ir gamins platesná spektrà produkcijos.
POS;„Oracle“ Lietuvoje atveria pirmàjá programuotojø centrà, kuris veiks Kaune, ir ieðko naujø talentø, pasirengusiø dirbti strateginëse kibernetinio saugumo ir debesijos infrastruktûros srityse.
POS;Kaip buvo skelbta anksèiau, ðiø metø kovo 5 d. „Oracle“ uþbaigë lietuviðkos ámonës „Zenedge“ – sëkmingo startuolio, teikianèio inovatyvius saugumo sprendimus – ásigijimo procesà. Ankstesnis ámonës pavadinimas „Zenedge Cybersecurity Suite“ keièiasi á „Oracle Web Application Security“, o pati ámonë tampa „Oracle Cloud Infrastructure“ (toliau OCI) verslo dalimi.
POS;"„Oracle“ ásitikinimu, turime puikiø galimybiø prisidëti prie Kauno, kaip vieno ið pagrindiniø Baltijos ðaliø technologijø centro, plëtros, ypaè kibernetinio saugumo srityje. Èia yra daug aukðtos kvalifikacijos specialistø ir sëkmingai bendradarbiaujama su Lietuvos universitetais. Mes plësime komandà toliau, susitelkdami ties programinës árangos kûrimu ir saugumo uþtikrinimu, o per ateinanèius metus toliau stiprinsime komandà tiek Kaune, tiek Vilniuje"", – sako Leon Kuperman, „Oracle Cloud Infrastructure“ (OCI) viceprezidentas saugumo sprendimams."
NEU;Ðalia pagrindinës veiklos – WAS programinës árangos – paslaugø teikimà nuolatiniu 24x7x365 reþimu priþiûri Lietuvoje esanti saugumo sprendimø profesionalø komanda, kuri uþtikrina klientø pradiná instruktavimà, nuolatiná kibernetiniø rizikø stebëjimà, nustatymø prieþiûrà ir pakeitimus, taip pat reagavimà á klientams gresianèias saugumo rizikas.
POS;„Dþiaugiuosi, kad „Oracle“ sëkmingai pleèiasi Baltijos ðalyse. Tai, kad ypatingos kvalifikacijos programuotojø komanda dirbs èia, atneð naudos tiek mûsø klientams, tiek visam IT sektoriui. Tikiu, kad „Zenedge-Oracle“ sëkmës istorija bus puikus motyvuojantis pavyzdys visai startuoliø bendruomenei“, – sako Andrius Skunèikas, „Oracle Baltics“ pardavimø vadovas.
POS;„ALTAS komercinis transportas“ sukûrë pirmàjá keleiviná turistiná midi autobusà „ALTAS Viator“. Rugsëjá jis pristatomas Lietuvoje ir svarbiausioje komercinio transporto sektoriui tituluojamoje parodoje Vokietijoje IAA 2018 (vok. Internationale Automobil-Ausstellung), kuri vyksta rugsëjo 20-27 dienomis Hanoveryje, raðoma praneðime.
POS;Ðiandien Lietuvoje kuriasi didþiausi automobiliø komponentø gamintojai, o lietuviðkos ámonës kuria ne tik variklius elektromobiliams bei ateities technologijas savivaldëms transporto priemonëms, bet ir pilnai sukomplektuotus keleivinius autobusus.
POS;Taigi ðalies specialistø potencialas yra kur kas didesnis nei numano tarptautiniai industrijos ekspertai. Rinkoje atsirandantis produktas su lietuviðku prekës þenklu, neabejotinai suteiks þinomumo ir pasitikëjimo ðalies automobiliø industrija“, – teigë ûkio ministras Virginijus Sinkevièius.
POS;„ALTAS komercinis transportas“ pristatomas lietuviðkas autobusas vienu metu gali veþti 30 þmoniø. Jis yra pirmasis ir konstrukcijø, ir dizaino prasme nepriklausomybæ atkûrusioje Lietuvoje sukurtas tokio tipo turistinis autobusas. Serijinæ ðio autobuso gamybà numatoma pradëti kitø metø pirmà ketvirtá, o pilnà gamybiná pajëgumà iðvystyti 2020 m. ir per metus pagaminti iki 200 ðiø autobusø.
POS;„Daugiau nei 15 metø kryptingai dirbome Europos rinkose ir matome, kad be mûsø jau gaminamø maþøjø autobusø paklausûs bûtø bûtent tokie vidutinës klasës autobusai. Klientai ávairiose ðalyse praðo tokio gaminio ir su juo mes uþpildysime dalá maþø ir vidutiniø autobusø asortimento.
POS;Be turistines „ALTAS Viator“ autobuso versijos po metø planuojama pradëti gaminti miesto transportui skirtus ðio tipo þemagrindþius autobusus, priemiesèio bei mokyklinius autobusus. O 2020 m. ámonë planuoja pristatyti Jungtinës Karalystës bei Airijos eismo sistemai skirtus autobusus su vairu deðinëje.
POS;Pasak Baltijos automobiliø detaliø klasterio vadovo Dariaus Lasionio, nuosavo galutinio produkto sukûrimas ir gamyba – svarbiausias ámonës vystymosi etapas, árodantis ámonës brandà ir turimas inþinerines kompetencijas.
POS;Ámonës „Forbis“ nuo nulio sukurta ir vystoma sistema yra bene pirmasis taip plaèiai naudojamas lietuviðkas IT srities iðradimas. Jis sukurtas daugiau nei prieð 20 metø, kai bankinis sektorius Lietuvoje dar tik vystësi, o ðiandien „Forpost“ sistemà naudoja dauguma ðalyje veikianèiø finansiniø paslaugø ámoniø. Produktas yra ilgaamþis, nuolat vystomas ir adaptuojamas pagal kiekvieno kliento poreikius – jis naudojamas ne tik Lietuvoje, bet ir kaimyninëse Latvijoje, Estijoje bei kitose Europos ir Azijos ðalyse.
POS;Sëkmingiausiu lietuviðku startuoliu vadinamas „Vinted“ per kelis investicijø etapus yra pritraukæs deðimtis milijonø eurø. „Vinted“ yra naudotø drabuþiø pardavimo platforma, per deðimtmetá sugebëjusi iðsiplësti á deðimt valstybiø – tarp jø ir JAV, Jungtinæ Karalystæ, Prancûzijà, Vokietijà ir kitas.
POS;Mobilieji mokëjimai visame pasaulyje plinta sparèiai ir vienas þaidëjø ðioje rinkoje – lietuviø ákurta ámonë „WoraPay“. Jos sukurta platforma – mobili piniginë, leidþianti atsiskaityti ávairiose vietose – net ir Vilniaus Ðv. Pranciðkaus Asyþieèio (Bernardinø) baþnyèioje. Viso tokiø vietø Baltijos ðalyse yra keli ðimtai.
POS;Populiarëjant mokymuisi nuotoliniu bûdu, lietuviai sujungë ðià sritá su programavimu ir sukûrë sistemà „Solid Education“ – ji leidþia vaikams ið viso pasaulio mokytis programavimo didelëse grupëse su ávairias kompetencijas turinèiais dëstytojais.
POS;Trumpalaikë automobiliø bei dviraèiø nuoma, paveþëjimo ir kitos paslaugos radikaliai pakeitë þmoniø judëjimà mieste. Taèiau kiekvienos paslaugos teikëjas paprastai yra skirtinga ámonë, tad norint turëti galimybë naudotis visomis, telefonà tektø apkrauti 3–4 programomis. „Trafi“ iðsprendë ðià vartotojø problemà.
POS;Á gatves iðriedëjo 22 „Volkswagen Crafter 4motion“ greitosios medicinos pagalbos (toliau GMP) automobiliai. Dar 50 naujø „Fiat Ducato“ GMP laukia savo eilës. Juos LR sveikatos apsaugos ministerijos uþsakymu sukûrë „Altas komercinis transportas“.
POS;Pasak „Altas komercinis transportas“ generalinio direktoriaus Edvardo Radzevièiaus, visi automobiliai yra „Euro 6“ kategorijos, todël atitinka grieþèiausias anglies dvideginio arba CO2 emisijos normas. Jie yra iðtestuoti ir sertifikuoti pagal Europos Sàjungoje galiojantá greitosios pagalbos standartà LST EN1789+A2:2015, todël yra saugûs tiek transportuojamam pacientui, tiek paramedikams.
POS;„Altas komercinis transportas“ per pastaruosius kelerius metus Lietuvos ástaigø uþsakymu sukûrë daugiau nei 100 GMP automobiliø.
POS;Ðiandien perduotus GMP automobilius ámonëje kûrë 7 moksliniø tyrimø ir eksperimentinës plëtros profesionalø komanda ir apie 30 prie gamybos linijos dirbusiø specialistø. Siekiant atitikti itin grieþtus konstrukcinius ir ergonomikos reikalavimus interjero gamybai panaudotos ðiuolaikinës kompozicinës medþiagos.
POS;Naujai sukurtam KTU mokslininkø prototipiniam gaminiui bûdingos antimikrobinës, antioksidacinës, prieðuþdegiminës savybës. Tokie tvarsèiai skatina audiniø regeneracijà ir ateityje gali bûti efektyvus bûdas ásisenëjusioms sveikatos problemoms spræsti.
POS;Demonstraciná virtualios realybës sprendimà „Inner Child“ aukðèio baimei gydyti kartu su psichoterapeutais sukûrë iðmaniø ir inovatyviø IT paslaugø kompanija „TeleSoftas“.
POS;„Technologijø paþanga yra didþiulë, taèiau jø taikymas vieðajame ar net privaèiame sektoriuje stipriai atsilieka. Greitesni, efektyvesni procesai, problemø sprendimai, nauji principai yra pasiekiami ranka. Kaip bus pasitelkiamos technologijos, priklauso tik nuo mûsø paèiø. Bûdami technologiniø sprendimø inþinieriais puikiai þinome, kaip naujausias technologijas pritaikyti þmogui, taigi, ir verslui. Esame globalaus pasaulio dalis – mûsø sukurti ar dar tik kuriami sprendimai yra pasaulinio lygio inovacijos, tikrai turime, kà parodyti ir kuo didþiuotis“, – sako Algirdas Stonys, „TeleSofto“ vadov
POS;Á IT parodà Barselonoje „TeleSoftas“ atvyko pristatyti savæs kaip kompanijos su „Step Forward“ poþiûriu, skatinti ágyvendinti dràsias, technologijomis pagrástas idëjas, kurios suteiktø pridëtinæ vertæ, sukeltø pokyèius ne tik konkreèioje ámonëje, sektoriuje, bet ir spræstø bendrai egzistuojanèias þmoniø problemas.
POS;„Inner Child“ yra ákvepiantis virtualios realybës sprendimas, skirtas padëti psichoterapeutams gydant baimes, taip pat árodantis, kad pritaikius naujausias technologijas, tokias kaip virtuali realybë, galima á nusistovëjusius gydymo metodus paþvelgti naujai.
POS;Praktikoje taikant „Inner Child“ sprendimà, pacientas bûtø visà laikà stebimas profesionalaus gydytojo, kuris sektø prietaiso pateikiamus streso parametrus – bûtø nuolat vertinami akiø judesiai, ðirdies plakimas, odos temperatûra, iðsiskiriantis prakaitas. Analizuodamas þmogaus reakcijas, gydytojas realiu laiku virtualioje realybëje modeliuotø vis sudëtingesnes situacijas. Parametrus bûtø galima palyginti ir su ankstesniais seansais, taip palengva per tam tikrà laikotarpá bûtø stengiamasi gydyti paciento turimas baimes.
POS;„Derindami savo þinias IT specialistai ir medicinos ekspertai atveria neátikëtinø galimybiø, o „Inner Child“ – tik vienas ið tokio bendradarbiavimo pavyzdþiø. Tiesa, kol kas sprendimo veiksmingumas nëra árodytas kliniðkai, taèiau technologija buvo kuriama pagal egzistuojanèià gydymo teorijà, ilgà laikà taikomus metodus psichikos sutrikimø ir baimiø gydymui“, – sako A. Stonys.
POS;Jau netrukus á gatves iðriedës 114 naujø specialiosios paskirties policijos automobiliø – pirmieji Lietuvoje mobilûs mini komisariatai. Visi automobiliai bus pagaminti gamykloje ðalia Vilniaus.
POS;Bendrovë „Altas komercinis transportas“, LGSPA narë, jau turi patirties gaminant konvojavimui skirtas transporto priemones bei greitosios medicinos pagalbos automobilius tiek Lietuvos, tiek uþsienio rinkoms, o ðiuo metu ágyvendina neeiliná mûsø ðalies policijos uþsakymà – èia kovo mënesá bus baigti gaminti mobiliais policijos biurais vadinami 114 automobiliø, kurie kasdiená policijos darbà leis pakelti á naujà kokybës lygá.
POS;„Eksportuojame apie 85 proc. produkcijos, tad esame ágyvendinæ nemaþai ávairiø uþsakymø gaminant specialiosios paskirties transportà uþsienyje, tarp jø – gynybos ir saugumo poreikiams. Kai kuriose srityse, pavyzdþiui, keleivinio transporto, esame vieni lyderiø Skandinavijos ðalyse. Mûsø ámonëje yra lankæsi stambiø gynybos srityje dirbanèiø uþsienio korporacijø atstovai, kurie teigiamai ávertino turimus pajëgumus, kompetencijas ir mato didelá potencialà ágyvendinti bendrus projektus.
POS;Didieji uþsienio ðaliø partneriai ypaè vertina gamybos procesø skaidrumà ir inþinerinæ kompetencijà. Mûsø ámonëje tam skiriamas didelis dëmesys: investuojame á programinæ árangà, nuolat tobuliname esamus procesus. Todël mums labai dþiugu, kad galësime reikðmingai prisidëti prie Lietuvoje ágyvendinamø projektø, ir ypaè tokiame svarbiame visuomenei sektoriuje, kaip saugumas“, – sako bendrovës „Altas komercinis transportas“ generalinis direktorius Edvardas Radzevièius.
POS;Modernià gamyklà Aviþieniø seniûnijoje netoli Vilniaus turinti bendrovë laimëjo Lietuvos policijos departamento paskelbtà konkursà, kurio vertë – 4,9 mln. Eur.
NEU;„Altas komercinis transportas“ yra antrojo etapo specializuotø automobiliø gamintojas, kaip þaliavà gamybai naudojantis „Volkswagen“, „Mercedes-Benz“, „Iveco“, „MAN“ ir kitø automobiliø bazes.
POS;„114 automobiliø policijai mes pagaminsime maþiau nei per deðimt savaièiø – suderinus gamybos procesà pro gamyklos vartus per dienà iðvaþiuos po tris automobilius. Tai yra labai geras rezultatas. Per toká trumpà laikà pagaminti toká didelá kieká specializuotø automobiliø mums leidþia iðskirtinë praktinë patirtis, gerai iðplëtoti gamybos pajëgumai bei gamyboje naudojamos inovacijos“, – teigë bendrovës generalinis direktorius.
POS;„Policija turëjo aiðkià vizijà, kokiø automobiliø jiems reikia, o viskà sukûrë ir nuo pradþios iki pabaigos ágyvendino pati ámonë. Tai pareikalavo daug specifiniø þiniø, iðskirtinës patirties, tikslumo. Galime tik pasidþiaugti, kad tokie projektai ágyvendinami ir Lietuvoje, mûsø gynybos ir saugumo pramonës“, – paþymëjo LGSPA direktorius R. Gorbaèiovas.
POS;Lietuvos startuolis, kuriantis platformà „carVertical“, pirmàjá pasauliná ir decentralizuotà automobiliø istorijos registrà, kuris pagrástas „blokchain“ technologija, su nauja idëja uþkariauja pasaulá. Jis iðleido savo kriptovaliutà (ICO) ir jau surinko virð 10 milijonø JAV doleriø.
POS;Startuolio idëja yra revoliucinë – sukurti ir ádiegti inovatyvià, su automobiliø registracijos ir eksploatacijos duomenø surinkimu ir naudojimu sietinø informaciniø sistemø suderinamumo ir sàveikos uþtikrinimo technologijà, kuri bûtø grásta decentralizuota vieða transakcijø saugojimo sistema (angl. „blockchain“).
POS;Ðiuo metu nëra galimybës gauti duomenø ir juos analizuoti ið skirtingø oficialiø valstybiø registrø: policijos, „Interpolo“ duomenø baziø, draudimo kompanijø ar privaèiø registrø. Ðios idëjos rinka – multimilijoninë, apimanti pasaulio automobiliø pardavimo industrijà. Kaip vienas ðios technologijos realizavimo pavyzdþiø galëtø bûti pasaulinis automobiliø registracijos ir eksploatacijos duomenø registras, bei su juos susijusi komercinë paslauga.
POS;„Finansiniø technologijø sektorius yra viena pagrindiniø srièiø, atkreipianèiø pasaulio dëmesá á Lietuvos inovacijø ekosistemà. Pernai „fintech“ produktus Lietuvoje nusprendë kurti bendrovës ið Izraelio, Singapûro, Jungtinës Karalystës ir Kinijos. Taèiau norint auginti startuoliø ekosistemà svarbu ne tik traukti á ðalá perspektyvias uþsienio ámones, bet ir auginti savo talentus, todël „carVertical“ kriptovaliutos sëkmë leidþia tikëtis ir tarptautinio vietos bendroviø proverþio“, – teigia ûkio ministras Virginijus Sinkevièius.
NEU;Startuolis planuoja kurti 5 produktus, pagrástus „blokchain“ technologija: mobilius vartus-piniginæ áraðams tvarkyti „wallet“, ataskaitø valdymo sistemà, mokamà franðizës modelá „whitelabel“, draudimo sprendimà, duomenø bazæ-registrà.
POS;Pasak keturiø lyderiaujanèiø Lietuvos mokslo institucijø vadovø, ateinantys 2018-ieji Lietuvos inovacijø rinkai gali tapti itin svarbiais. Lietuvos moksle ir versle susiformavo visos tinkamos aplinkybës, kad ávyktø net penkiø srièiø proverþiai. Didþiausiø laimëjimø tikimasi finansiniø ir blockchain* technologijø srityse, kurios gali iðstumti Lietuvà á Europines lyderes.
POS;Neseniai Europos Sàjungos paskelbtoje Europos inovacijø ðvieslentëje, kuri atskleidþia valstybës konkurencingumà, valstybës inovacijø rinkos poþymius bei rezultatus, Lietuva ðiemet pakilo ið 24 á 16 vietà, uþsitikrindama 21 proc. augimà. Lietuvai tai didþiausias augimas per paskutinius 5 m.
POS;"„DuPont“, BASF, „Bayer“, „Aventis“ – tai tik kelios pasaulinës korporacijos, aktyviai uþsakinëjanèios Lietuvos mokslininkø paslaugas. Lietuvos mokslo ir verslo bendradarbiavimo apimtis iliustruoja MITA rezultatai: ðiemet sulaukëme daugiau kaip 800 paraiðkø gauti finansavimui. Finansavome daugiau kaip 300 ávairiø projektø; didþioji dalis jø buvo mokslininkø ir verslo kartu vykdomi projektai. Tikimës 2018 m. dar didesniø apimèiø“, - teigia MITA direktorius."
POS;„Þinodami mûsø itin sëkmingà tarptautiniø fintech paslaugø centrø plëtrà, privalome pasinaudoti ádirbiu ir tapti Europiniais ðiø inovatyviø srièiø lyderiais. Dabar visos ámonës, norinèios ásitvirtinti Europoje, svarsto naujas alternatyvas Londonui. Lietuva turi puikø ðansà tuo pasinaudoti“, - sako prof. Antanas Èenys, VGTU mokslo ir inovacijø prorektorius
POS;2017 m. centre buvo sukurti 3 startuoliai, o pajamos ið bendradarbiavimo su verslu pasiekë 5,2 mln. EUR
POS;Lietuvos bendrovës „BOD group“ mokslininkai sukûrë ir átraukë á Patentø registrà sistemà, kuri, ádarbinus saulës ir geoterminæ energijà, leidþia vartotojams sutaupyti ne maþiau nei 30 procentø ðilumos ar ðaldymo kaðtø. Technologija gali bûti naudojama ne tik pramoniniuose statiniuose, bet ir A klasës daugiabuèiuose, raðoma praneðime spaudai.
POS;„Ðá iðradimà mes ir patys naudojame savo ámonës gamykloje, kurioje gaminame saulës baterijas. Technologija mums padeda efektyviai taupyti iðlaidas, skirtas gamyklos pastatø ðildymui ir vësinimui“, – teigia „GBG Group“, kuriai priklauso „BOD Group“, valdybos pirmininkas Vidmantas Janulevièius.
POS;Anot „GBG Group“ valdybos pirmininko, atsinaujinanèiø iðtekliø energijà naudojanti technologija gali lemti nuo 3 iki 6 kartø maþesnes iðlaidas pastato ðildymui ir du-tris kartus maþiau kainuojantá ðaldymà.
POS;„BOD group“ iðradimo patento komercinë vertë gali siekti apie 70 milijonø eu
POS;Duþæs iðmaniojo telefono ekranas daþnam sukelia dilemà: pirkti naujà árenginá ar keisti stiklà senajam. Kauno mokslo ir technologijø parke ásikûrusi aukðtøjø technologijø ámonë „Ultratechnolgijos“, pradëjusi dirbti uþsienio rinkoms, ðiandien atsigræþia á lietuvius ir siûlo iðvengti dideliø iðlaidø. Ámonë uþsiima LCD ekranø atnaujinimu, atstato jø pradinæ bûklæ paèiø sukurta technologija.
POS;„Verslo idëja gimë svarstant, kaip toká daþnà nemalonø „netyèiukà“ – duþusá telefono ekranà – padaryti maþiau skausmingu ir sumaþinti iðmetamø dar tikrai gerø telefonø kieká. Norëjome suklijuoti ekranà jo nepakeièiant nauju, bet atnaujinant senà. Taigi, su draugais iðplëtojome technologijà, kuri pasitarnautø originaliø ekranø atnaujinimui“, – pirmuosius þingsnius versle prisimena UAB „Ultratechnologijos“ kûrëjas ir bendraturtis Jurijus Vlasovas.
POS;Ðiuo metu ámonë dirba su Vokietijos, Danijos ir Norvegijos uþsakovais, jiems uþsakymus vykdo 4 specialiai paruoðti specialistai, kurie gali atnaujinti 20–40 ekranø per dienà. Kaina uþsienio didmenininkams skiriasi, taèiau jei tokià paslaugà uþsakytø galutinis vartotojas Lietuvoje, jam mobilaus telefono ekrano atnaujinimas kainuotø nuo 30 eurø.
POS;„Eksplos“ ir „Ðviesos Konversijos“ vedamas konsorciumas pagamino ypaè didelës galios ultrasparèiøjø impulsø lazerá. Keturiø teravatø smailinës galios lazerinë sistema Sylos, sukurta ir pagaminta ELI-ALPS (Extreme Light Infrastructure – Attosecond Light Pulse Source) lazeriø tyrimo centro (Vengrija) uþsakymu, raðoma praneðime spaudai.
NEU;Startas daugiau nei dvejus metus kurtos ir 4 milijonø eurø vertës sistemos kûrimui buvo duotas 2014 m. lapkrièio mënesá pasiraðius oficialius projekto dokumentus Vilniuje.
POS;„Malonu pastebëti, kad tokia pakankamai sudëtinga ir iððûkius kelianèiø parametrø sistema buvo pagaminta laikantis sutartø grafikø ir specifikacijø“ – minëjo Prof. Karoly Osvay'us, ELI-ALPS tyrimo technologijø direktorius.
POS;„Buvo smagu sudalyvauti tokio dydþio iððûkius kelianèiame projekte. Mes didþiuojamës savo inþinieriø ir mokslininkø entuziazmu ir techniniu kûrybiðkumu, su kuriuo jie ëmësi darbo. Projekto dëka ágijome naujø kompetencijø, o kartu tai atvërë mums papildomus kelius á aukðtø energijø laboratorijas visame pasaulyje“ – pridûrë Dr. Zenonas Kuprionis, UAB „Ekspla“ komercijos direktorius.
POS;Kitas aukðtø energijø lazeriø gamybos projektas, kuriame dalyvavo „Ekspla“ – „ELI beamlines“ laboratorijoms Èekijoje skirtas lazeris sëkmingai perëjo á baigiamàjà fazæ ir baigiamas rinkti partnerio „National Energetics“ (JAV) laboratorijose.
POS;„Honda“ metø pradþioje pristatë savo naujausià kûriná – kompaktiðkà koncepciná elektromobilá „NeuV“. Ðiam modeliui „Honda“, ieðkodama iðmaniø akumuliatoriø gamintojø, atrado lietuviø ámonës „Energus Power Solutions“ kûrinius.
POS;„Matëme, naujienos dþiugina. Panaðu, kad technologija yra tinkama, kadangi jà matome ne tik reklamoje, bet ir jau turime tiesioginá kontaktà. Panaðiø istorijø turëjome ir su kitais þinomais vardais, pavyzdþiui, „Tesla“: po gero pusmeèio susisiekë atstovas ir informavo, kad turi vienà ið mûsø gaminiø ir papraðë pagalbos já integruojant á savo PowerWall prototipà“.
POS;Pasak inþinieriaus, jo vadovaujamos ámonës gamintomis baterijomis jau vaþinëja ir skraido robotai, lenktyniauja elektrinës formulës. Pats pirmas elektrinës formulës projektas lietuviø buvo kurtas su Australijos Svinburno technikos universitetu, kuris tarptautinëse varþybose uþëmë 2 vietà. Lietuviai taip pat bendradarbiauja su ávairiø transporto priemoniø gamintojais, o artimiausiu metu planuoja stipriai iðplësti gamybinæ bazæ.
POS;Lietuvoje buvusio „Fermento“ darbuotojo ir jo komandos ákurta bendrovë kuria neskausmingus prostatos vëþio diagnostikos testus.
POS;„Mes siekiame, kad mûsø testas bûtø toks, kad prostatos masaþo nereikëtø, þmogus tiesiog pasiðlapina ir jau galima nustatyti vëþio markerius, - pasakojo jis. - Mes esame sukûræ skystá – stabilizatoriø, su kuriuo sumaiðius ðlapimà norimos iðtirti molekulës iðlieka stabilios savaitæ aplinkos temperatûroje, per kurià mëginys gali keliauti á mûsø laboratorijà.“
NEU;J. Gagilas ir jo komanda nëra naujokai biotechnologijø srityje, anksèiau jis ir dalis kitø „Diagnolitos“ profesionalø dirbo biotechnologijø ámonëje „Fermentas“.
POS;„Drugelio sparnai, keisdami ðviesos lûþio rodiklá, sukuria ir net keièia spalvas. Mes iðmokome susluoksniuoti medþiagas taip, kad galëtume dirbtinai formuoti drugelio sparnø spalvas, tobulai nukopijuodami ir net simetriðkai tvarkingiau sukurdami struktûras, lemianèias spalvà“, – pasakoja prof. Roaldas Gadonas.
POS;O sausio 25 dienà þiniasklaidai buvo pravertos „BOD Group“ ámonës „SoliTek Cells“ gamyklos Visoriø informaciniø technologijø parke Vilniuje durys – parodyta, kaip kepami turbût geriausi pasaulyje Saulës energijà surenkantys ir elektra jà paverèiantys mëlyni stiklo „suvoþtiniai“ su saulës elementø ádaru, kurie, anot bendrovës verslo plëtros vadovo Vytauto Kiero, yra tokie geri, kad turëtø atsidurti ant visø namø stogø.
POS;Argumentø, patvirtinanèiø toká teiginá, paþërë daug: stikle paslëptø elementø efektyvumas net po 30 metø kasdieninio darbo (be jokios prieþiûros!) nenukris þemiau 95 proc. to, kuris buvo pirmà dienà juos pastaèius, jais uþdengtas gyvenamojo pastato stogas bûtø tik ðiek tiek brangesnis nei tokio paties ploto stogas, uþdengtas èerpëmis, o energijos tipiniu atveju turëtø bûti prigeneruojama tiek, kad ne tik uþtektø áprastinëms tokio stogo turëtojo reikmëms, bet dar ir kaimynams liktø.
POS;Nuo praëjusiø metø balandþio ðioje gamykloje pradëti gaminti ir vis tobulinami saulës energijos elementai jau dabar yra iðplitæ po daugelá ðaliø – ir nebûtinai tokio santykinai ðvelnaus klimato, kaip Lietuva. Jø galima pamatyti ir atðiauriose Norvegijos sàlygose, ir tikrai ne kà ðvelnesniame Malaizijos klimate. Tai yra dël to, kad jiems në motais stiprûs vëjai, kruða ar stora sniego danga: grûdintu stiklu padengta tokiø elementø plokðtë atlaiko iki 8 metrø puraus sniego arba iki 2 metrø ðlapio sniego sluoksnio slëgimà (tiesa, natûralu tikëtis, kad apsnigtos plokðtës energijos gamins maþiau).
POS;O koks gi optiniø diskø gamybos likimas? Nepaisant jau prieð kelerius metus numatyto saulëlydþio, jis kaip neateina, taip neateina – ið rinkos pasitraukus kai kuriems ðiø laikmenø gamintojams, „BOD Group“ dþiaugiasi auganèia paklausa (V. Kiero teigimu, per metus ðiø laikmenø pardavimai iðaugo 10-12 procentø).
NEU;Lietuviðko kapitalo „Soli Tek cells“ pradëjo Vokietijoje sertifikuotø saulës moduliø gamybà, raðoma bendrovës praneðime.
POS;Ámonës gaminamiems fotovoltiniams moduliams „Solitek SOLID“ neseniai suteiktas tarptautinis Vokietijos standartø biuro TUV Nord iðplëstinis sertifikatas.
POS;Kaip sako bendrovës Strategijos ir plëtros vadovas Vytautas Kieras, jiems pavyko sukurti saulës moduliø technologijà, kuri leidþia optimaliai iðnaudoti grûdinto stiklo ilgaamþiðkumo savybes. Todël net trisdeðimt metø ar ilgiau naudojami moduliai beveik nepraranda savo pradinio efektyvumo bei galios.
POS;Saulës energijà elektra paverèiantys moduliai taip pat yra atsparûs atðiaurioms klimato sàlygoms (stipriems vëjo gûsiams, kruðai, uþterðtam lietui, sniegui) bei, kaip raðoma praneðime, gali atlaikyti iki 820 kg/kv.m apkrovas. Tai reiðkia, kad naujieji moduliai atlaiko net 8 metrus sauso arba 2 metrus ðlapio sniego kvadratiniame metre.
POS;Skirtingai nuo rinkoje paplitusiø plastikinio pagrindo moduliø, „Solitek SOLID“ technologijos gaminiai pasiþymi dideliu atsparumu amoniakui, druskø korozijai, smëliui ir dulkëms, todël juos galima naudoti ir specifiniuose objektuose, pavyzdþiui, montuoti virð fermø, ðiltnamiø, þuvininkystës ûkiø, aukðto druskingumo sàlygomis ir t. t.
POS;Reklaminiø lipdukø ant automobiliø paslaugà verslui ir uþdarbio galimybes vairuotojams siûlanti bendrovë „Wowtto“ þengia á Anglijos rinkà
